_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6984c6cbd5fe59bad8658a42,,59.24,85.86,76.85,57.61,74;6;0;6,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770309323000
6984c6bad5fe59bad865893b,,64.02,93.02,64.02,57.09,80;0;0;0,time,15,-1,1,14.99,0,0.02,false,false,english,,normal,false,false,false,,1770309306000
6984c688d5fe59bad8658607,,48.01,92.31,48.01,51.2,60;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1770309256000
6984c676d5fe59bad86584e8,,48.02,88.73,52.02,54.12,60;1;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1770309238000
6984c665d5fe59bad86583cd,,65.64,94.25,66.44,67.78,82;1;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770309221000
6984c63fd5fe59bad8658150,,44.03,90.32,44.03,61.64,55;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770309183000
6984c62fd5fe59bad865804e,,50.43,90.28,53.64,50.68,63;2;0;0,time,15,-1,0,14.99,1,0,false,false,english,,normal,false,false,false,,1770309167000
6984ab38d5fe59bad863cecb,,51.22,88.16,53.62,56.52,64;1;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770302264000
6984ab27d5fe59bad863cd9d,,64.84,87.76,73.65,71.03,81;4;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770302247000
6984ab17d5fe59bad863cc8f,,54.43,84.15,54.43,63.51,68;0;0;0,time,15,-1,1,14.99,0,2.26,false,false,english,,normal,false,false,false,,1770302231000
69848a50d5fe59bad8621c07,,76.83,96,76.83,70.17,96;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770293840000
69848a3fd5fe59bad8621b4c,,61.62,92.86,62.42,64.41,77;1;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1770293823000
